country,countryiso3code,date,personnel,expenditure
Belgium,BEL,1998,1.02561743577804,1.41739581246631
Belgium,BEL,1997,1.05160705430787,1.4578661900969
Belgium,BEL,1996,1.10117647506513,1.51931684175109
Belgium,BEL,1995,1.12541350601119,1.5446405538339
Belgium,BEL,1994,1.27329438013507,1.67714315012305
Belgium,BEL,1993,1.70890051537998,1.73596589343319
Belgium,BEL,1992,1.94066431150266,1.83233253009366
Belgium,BEL,1991,2.50748895091131,2.28769284712482
Belgium,BEL,1990,2.69155491635358,2.35544045891723
Bulgaria,BGR,2024,,2.14947328244853
Bulgaria,BGR,2023,,1.94458310651254
Bulgaria,BGR,2022,,1.58707500372134
Bulgaria,BGR,2021,,1.5107237100085
Bulgaria,BGR,2020,1.18130171786811,1.58561827051115
Bulgaria,BGR,2019,1.15278947010942,3.14495072906354
Bulgaria,BGR,2018,1.16148691700508,1.45106212373153
Bulgaria,BGR,2017,0.958184814687057,1.22220854798635
Bulgaria,BGR,2016,0.990564947989011,1.24384580804927
Bulgaria,BGR,2015,1.45112678614379,1.24593360652028
Bulgaria,BGR,2014,1.43750776877216,1.30960223173333
Bulgaria,BGR,2013,1.41872774614551,1.45404283053363
Bulgaria,BGR,2012,1.40854004080299,1.32981896505284
Bulgaria,BGR,2011,1.41629190824225,1.31400025609446
Bulgaria,BGR,2010,1.90734366002063,1.64246152423714
Bulgaria,BGR,2009,1.87198934730153,1.73951150062383
Bulgaria,BGR,2008,2.10504866451503,2.13186398257533
Bulgaria,BGR,2007,2.14240907330238,2.22853990097534
Bulgaria,BGR,2006,2.19205179555347,2.08176190777138
Bulgaria,BGR,2005,2.5644700220997,2.23535026726367
Bulgaria,BGR,2004,2.51533243077287,2.3737116819405
Bulgaria,BGR,2003,2.54490484600781,2.69120147161229
Bulgaria,BGR,2002,3.00821147726685,2.77967655484011
Bulgaria,BGR,2001,3.18464594348212,2.86251954387639
Bulgaria,BGR,2000,3.30673032945843,2.65245576158903
Bulgaria,BGR,1999,3.31861414025743,2.61950116392104
Bulgaria,BGR,1998,3.94811909275428,2.13151621324202
Bulgaria,BGR,1997,3.92667577771364,2.15948029978631
Bulgaria,BGR,1996,4.02822865456284,1.73742958266484
Bulgaria,BGR,1995,3.9651568045913,1.63834575680207
Bulgaria,BGR,1994,2.33047267812094,2.49261728620574
